Tag, Frequency
<a>, 113
<div>, 100
<span>, 64
<meta>, 40
<svg>, 33
<use>, 33
<h3>, 25
<p>, 24
<li>, 24
<article>, 22
<link>, 21
<!--[if>, 20
<![endif]-->, 20
<!-->, 19
<section>, 18
<script>, 17
<source>, 11
<video>, 11
<img>, 11
<picture>, 10
<style>, 3
<noscript>, 2
<ul>, 2
<h2>, 2
<form>, 1
<!DOCTYPE>, 1
<input>, 1
<\/script>, 1
<scripts.length;f++){addScripts(scripts[f],false);}return>, 1
<_itmSource.length;i++){var>, 1
<!--main_menu>, 1
<nav>, 1
<header>, 1
<button>, 1
<aside>, 1
<title>, 1
<h1>, 1
<hgroup>, 1
<cacheData.length;j++){var>, 1
<b.length;c++){var>, 1
<400){data=request.responseText;insert();if(isLocalStorage){localStorage.setItem('inlineSVGdata',data);localStorage.setItem('inlineSVGrev',revision);}}}
request.send();}catch(e){}}
var>, 1
<totalItems-1;i++){var>, 1
<dataItmLength;di++){if(dataItm[di]!==null){dataItm[di].setAttribute('data-itm-added',1);dataItm[di].addEventListener('click',function(e){if(this.href&&this.href!=window.location.href&&this.href!=window.location.href+'#'){var>, 1
<t.length;n++){var>, 1
<\/div>, 1
<iframe>, 1
<!--end>, 1
<j;++i){var>, 1
<!--End>, 1
<footer>, 1
